Values from:-,,,,,
"D. R. Bates, ""RAYLEIGH-SCATTERING BY AIR,"" Planetary and Space Science, Note vol. 32, no. 6, pp. 785-790, 1984, doi: 10.1016/0032-0633(84)90102-8.",,,,,
"M. Adam, ""Notes on Rayleigh scattering in lidar signals,"" Applied Optics, vol. 51, no. 12, pp. 2135-2149, Apr 2012, doi: 10.1364/ao.51.002135.",,,,,
Wavelength [nm],Refractive Index(n-1)E4,Scattering coefficent [cm2],Back ScatterCross Section (cm2/sr),Effective King,Refractive index
200,3.421,3.62E-25,4.31E-26,1.08,1.0003421
205,3.384,3.20E-25,3.81E-26,1.077,1.0003384
210,3.352,2.84E-25,3.38E-26,1.074,1.0003352
215,3.323,2.54E-25,3.02E-26,1.072,1.0003323
220,3.298,2.27E-25,2.70E-26,1.07,1.0003298
225,3.274,2.05E-25,2.43E-26,1.068,1.0003274
230,3.252,1.85E-25,2.20E-26,1.066,1.0003252
235,3.215,1.52E-25,1.81E-26,1.064,1.0003215
240,3.183,1.26E-25,1.50E-26,1.062,1.0003183
250,3.156,1.06E-25,1.26E-26,1.06,1.0003156
260,3.133,8.76E-26,1.04E-26,1.059,1.0003133
270,3.113,7.64E-26,9.09E-27,1.057,1.0003113
280,3.095,6.55E-26,7.80E-27,1.056,1.0003095
290,3.078,5.66E-26,6.73E-27,1.056,1.0003078
300,3.064,4.91E-26,5.84E-27,1.055,1.0003064
310,3.051,4.29E-26,5.10E-27,1.054,1.0003051
320,3.041,3.76E-26,4.47E-27,1.053,1.0003041
330,3.039,3.21E-26,3.82E-27,1.053,1.0003039
340,3.029,2.93E-26,3.49E-27,1.052,1.0003029
350,3.019,2.60E-26,3.10E-27,1.052,1.0003019
360,3.011,2.32E-26,2.76E-27,1.052,1.0003011
370,3.003,2.07E-26,2.47E-27,1.051,1.0003003
380,2.998,1.86E-26,2.21E-27,1.051,1.0002998
390,2.989,1.67E-26,1.99E-27,1.051,1.0002989
400,2.982,1.03E-26,1.22E-27,1.05,1.0002982
450,2.959,6.66E-27,7.93E-28,1.049,1.0002959
500,2.944,4.51E-27,5.37E-28,1.049,1.0002944
550,2.932,3.17E-27,3.77E-28,1.048,1.0002932
600,2.924,2.29E-27,2.72E-28,1.048,1.0002924
650,2.917,1.70E-27,2.02E-28,1.048,1.0002917
700,2.912,1.28E-27,1.53E-28,1.048,1.0002912
750,2.908,9.88E-28,1.18E-28,1.047,1.0002908
800,2.904,7.74E-28,9.21E-29,1.047,1.0002904
850,2.902,6.15E-28,7.31E-29,1.047,1.0002902
900,2.899,4.94E-28,5.88E-29,1.047,1.0002899
950,2.897,3.94E-28,4.69E-29,1.047,1.0002897
1000,2.896,4.02E-28,4.79E-29,1.047,1.0002896
